MSSA_ID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_NAME,DEFINITION,AREA_SQMI,POP,DENTIST,HISPANIC,WHITE,BLACK,NHS_BLACK,ASIAN,AGE_65OVER,AGE_18_64,AGE_UNDR18,AGE_UNDER5
MSSA_ID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_NAME,DEFINITION,AREA_SQMI,POP,DENTIST,HISPANIC,WHITE,BLACK,NHS_BLACK,ASIAN,AGE_65OVER,AGE_18_64,AGE_UNDR18,AGE_UNDER5
152,4,73,San Diego,Borrego Springs/Cuyamaca/Julian/Kentwood in the Pines/Laguna/Ocotillo Wells/Palomar/Pine Valley/Warner Springs,Frontier,1788.019088,9965,2,1756,8400,87,87,269,2529,5672,1764,454
153.1,1,73,San Diego,Pala/Pauma Valley,Rural,112.9743827,7323,1,2193,5004,87,87,284,622,4627,2074,714
153.2,3,73,San Diego,Rincon/San Pasqual/Valley Center,Rural,94.77429121,17165,8,3965,13655,39,4,307,2664,10435,4066,918
154,1,73,San Diego,Barona/Moreno,Rural,48.05424153,2486,0,328,1756,32,26,43,439,1486,561,142
155,7,73,San Diego,Alpine/Blossom Valley/Crest/Descanso/Glen Oaks/Harbison Canyon/Japatul/Palo Verde,Rural,142.7951244,33320,13,5227,29029,400,384,345,5562,21252,6506,1397
156a,23,73,San Diego,Encinitas Central/Leucadia/Oceanside North and West/San Luis Rey/South Oceanside,Urban,21.79040028,111128,65,43267,78140,4412,3938,5700,13295,72421,25412,7743
156b,19,73,San Diego,Carlsbad East/Encinitas East/Oceanside East,Urban,35.73875959,109982,75,20589,86488,2898,2758,8509,16206,70722,23054,5796
156c,25,73,San Diego,Cardiff by the Sea/Eden Gardens/Harmony Grove/La Costa/Ocean Hills/Lomas Santa Fe/Olivehain/Rancho Santa Fe/San Marcos South/Solana Beach/Vista South,Urban,81.72658733,157079,117,20333,133235,2777,2466,10743,23063,98065,35951,9218
156d,25,73,San Diego,Oceanside East/San Marcos West/Vista,Urban,54.38300273,128176,103,63017,99517,4064,3664,5662,13241,83000,31935,9029
156e,26,73,San Diego,Escondido Central and South/San Marcos Central and East,Urban,25.61814246,134247,152,72413,110007,2507,2042,6181,13891,84526,35830,11389
156f,18,73,San Diego,Escondido East/Hidden Meadows/Poway North,Urban,135.134211,101864,23,22503,81800,2171,2147,9385,15688,63163,23013,6192
157,3,73,San Diego,Dulzura/Engineer Springs/Indian Springs/Jamacha/Jamul,Rural,208.2527023,18768,5,6126,14400,1172,1105,1433,1986,12377,4405,859
158.1,5,73,San Diego,Ramona/Rock Haven/Rosemont,Rural,102.2935626,26062,11,7636,22705,329,311,199,2689,16576,6797,1691
158.2,2,73,San Diego,Ballena/Four Corners/San Diego Country Estates,Urban,33.71526454,10833,2,1232,9993,160,160,101,1199,6795,2839,644
